Fecha,FuenteIngreso,cantidad
31/03/20                      ,MovilSE                                                                                             ,         83
31/03/20                      ,UB                                                                                                  ,         43
31/03/19                      ,MovilSE                                                                                             ,          5
31/03/19                      ,UB                                                                                                  ,          2
31/01/20                      ,MovilGZ                                                                                             ,          8
31/01/20                      ,PortalGZ                                                                                            ,          1
31/01/20                      ,UB                                                                                                  ,          5
31/01/20                      ,CALL CENTER                                                                                         ,          1
31/01/20                      ,MovilSE                                                                                             ,        185
31/01/20                      ,UB                                                                                                  ,          4
31/01/20                      ,UB                                                                                                  ,         35
31/01/19                      ,UB                                                                                                  ,          4
31/01/19                      ,MovilGZ                                                                                             ,         18
31/01/19                      ,MovilSE                                                                                             ,        136
31/01/19                      ,PortalGZ                                                                                            ,          4
31/01/19                      ,UB                                                                                                  ,         43
31/01/18                      ,MovilSE                                                                                             ,         12
31/01/18                      ,UB                                                                                                  ,         17
30/12/19                      ,MovilGZ                                                                                             ,          5
30/12/19                      ,MovilSE                                                                                             ,        101
30/12/19                      ,UB                                                                                                  ,          1
30/12/19                      ,UB                                                                                                  ,         26
30/12/18                      ,PortalGZ                                                                                            ,          1
30/12/18                      ,MovilSE                                                                                             ,         22
30/12/18                      ,UB                                                                                                  ,          5
30/11/20                      ,UB                                                                                                  ,         18
30/11/20                      ,MovilGZ                                                                                             ,          1
30/11/20                      ,MovilSE                                                                                             ,         90
30/11/19                      ,MovilGZ                                                                                             ,          1
30/11/19                      ,MovilSE                                                                                             ,         36
30/11/19                      ,UB                                                                                                  ,         31
30/11/18                      ,MovilSE                                                                                             ,        103
30/11/18                      ,MovilGZ                                                                                             ,          7
30/11/18                      ,UB                                                                                                  ,         41
30/10/20                      ,MovilGZ                                                                                             ,          7
30/10/20                      ,MovilSE                                                                                             ,        155
30/10/20                      ,UB                                                                                                  ,         61
30/10/19                      ,MovilGZ                                                                                             ,          1
30/10/19                      ,UB                                                                                                  ,         23
30/10/19                      ,MovilSE                                                                                             ,        102
30/10/18                      ,MovilGZ                                                                                             ,          8
30/10/18                      ,MovilSE                                                                                             ,        135
30/10/18                      ,UB                                                                                                  ,         40
30/09/20                      ,MovilSE                                                                                             ,        170
30/09/20                      ,MovilGZ                                                                                             ,          4
30/09/20                      ,UB                                                                                                  ,        148
30/09/19                      ,MovilGZ                                                                                             ,          6
30/09/19                      ,MovilSE                                                                                             ,        121
30/09/19                      ,PortalGZ                                                                                            ,          1
30/09/19                      ,UB                                                                                                  ,         49
30/09/18                      ,MovilSE                                                                                             ,          9
30/09/18                      ,MovilGZ                                                                                             ,          1
30/09/18                      ,UB                                                                                                  ,          8
30/08/20                      ,UB                                                                                                  ,          8
30/08/20                      ,MovilGZ                                                                                             ,          3
30/08/20                      ,MovilSE                                                                                             ,         41
30/08/19                      ,MovilSE                                                                                             ,         93
30/08/19                      ,UB                                                                                                  ,         39
30/08/19                      ,MovilGZ                                                                                             ,          6
30/08/19                      ,PortalGZ                                                                                            ,          6
30/08/18                      ,MovilGZ                                                                                             ,          4
30/08/18                      ,UB                                                                                                  ,         36
30/08/18                      ,MovilSE                                                                                             ,        134
30/08/18                      ,PortalGZ                                                                                            ,          2
30/07/20                      ,MovilGZ                                                                                             ,          3
30/07/20                      ,MovilSE                                                                                             ,         57
30/07/20                      ,UB                                                                                                  ,         78
30/07/19                      ,MovilGZ                                                                                             ,          3
30/07/19                      ,MovilSE                                                                                             ,        213
30/07/19                      ,UB                                                                                                  ,         73
30/07/18                      ,MovilSE                                                                                             ,         90
30/07/18                      ,UB                                                                                                  ,         30
30/06/20                      ,MovilGZ                                                                                             ,          2
30/06/20                      ,MovilSE                                                                                             ,         57
30/06/20                      ,UB                                                                                                  ,         46
30/06/20                      ,MovilSE                                                                                             ,          3
30/06/19                      ,UB                                                                                                  ,          3
30/06/19                      ,MovilSE                                                                                             ,         10
30/06/18                      ,MovilSE                                                                                             ,         15
30/06/18                      ,UB                                                                                                  ,         13
30/05/20                      ,MovilSE                                                                                             ,         24
30/05/20                      ,UB                                                                                                  ,         21
30/05/19                      ,MovilGZ                                                                                             ,         10
30/05/19                      ,MovilSE                                                                                             ,        225
30/05/19                      ,UB                                                                                                  ,         63
30/05/18                      ,MovilSE                                                                                             ,         63
30/05/18                      ,UB                                                                                                  ,         37
30/04/20                      ,MovilGZ                                                                                             ,          2
30/04/20                      ,MovilSE                                                                                             ,         68
30/04/20                      ,PortalGZ                                                                                            ,          1
30/04/20                      ,UB                                                                                                  ,          3
30/04/20                      ,UB                                                                                                  ,         48
30/04/19                      ,MovilGZ                                                                                             ,          5
30/04/19                      ,PortalGZ                                                                                            ,          5
30/04/19                      ,UB                                                                                                  ,         45
30/04/19                      ,MovilSE                                                                                             ,        166
30/04/19                      ,UB                                                                                                  ,          1
30/04/18                      ,PortalGZ                                                                                            ,          5
30/04/18                      ,MovilSE                                                                                             ,         71
30/04/18                      ,UB                                                                                                  ,         43
30/03/20                      ,UB                                                                                                  ,          1
30/03/20                      ,MovilSE                                                                                             ,         67
30/03/20                      ,UB                                                                                                  ,         23
30/03/19                      ,MovilSE                                                                                             ,         38
30/03/19                      ,UB                                                                                                  ,          6
30/03/18                      ,MovilSE                                                                                             ,          2
30/03/18                      ,UB                                                                                                  ,          3
30/01/20                      ,MovilSE                                                                                             ,          3
30/01/20                      ,MovilSE                                                                                             ,        178
30/01/20                      ,UB                                                                                                  ,          4
30/01/20                      ,UB                                                                                                  ,         55
30/01/20                      ,MovilGZ                                                                                             ,          7
30/01/20                      ,UB                                                                                                  ,          1
30/01/19                      ,MovilGZ                                                                                             ,         14
30/01/19                      ,MovilSE                                                                                             ,        205
30/01/19                      ,PortalGZ                                                                                            ,          3
30/01/19                      ,UB                                                                                                  ,          1
30/01/19                      ,UB                                                                                                  ,         45
30/01/18                      ,UB                                                                                                  ,          8
30/01/18                      ,MovilSE                                                                                             ,         11
29/12/19                      ,MovilSE                                                                                             ,          8
29/12/19                      ,UB                                                                                                  ,          4
29/12/18                      ,MovilGZ                                                                                             ,          1
29/12/18                      ,MovilSE                                                                                             ,         47
29/12/18                      ,UB                                                                                                  ,         11
29/11/20                      ,MovilSE                                                                                             ,          9
29/11/20                      ,UB                                                                                                  ,         25
29/11/19                      ,MovilGZ                                                                                             ,          1
29/11/19                      ,MovilSE                                                                                             ,         75
29/11/19                      ,UB                                                                                                  ,         55
29/11/18                      ,MovilGZ                                                                                             ,          1
29/11/18                      ,MovilSE                                                                                             ,         72
29/11/18                      ,UB                                                                                                  ,         15
29/10/20                      ,UB                                                                                                  ,         98
29/10/20                      ,MovilGZ                                                                                             ,          3
29/10/20                      ,MovilSE                                                                                             ,        165
29/10/19                      ,MovilGZ                                                                                             ,          3
29/10/19                      ,MovilSE                                                                                             ,        102
29/10/19                      ,UB                                                                                                  ,         26
