Fecha,FuenteIngreso,cantidad
28/11/20                      ,MovilSE                                                                                             ,          9
28/11/19                      ,MovilSE                                                                                             ,          9
28/11/19                      ,UB                                                                                                  ,          1
28/11/19                      ,MovilGZ                                                                                             ,          2
28/11/18                      ,MovilSE                                                                                             ,         13
28/11/18                      ,UB                                                                                                  ,          1
28/11/18                      ,MovilGZ                                                                                             ,          3
28/10/20                      ,PortalGZ                                                                                            ,          2
28/10/20                      ,UB                                                                                                  ,          9
28/10/20                      ,MovilGZ                                                                                             ,          4
28/10/20                      ,MovilSE                                                                                             ,         19
28/10/19                      ,MovilGZ                                                                                             ,          8
28/10/19                      ,MovilSE                                                                                             ,         38
28/10/19                      ,PortalGZ                                                                                            ,          2
28/10/19                      ,UB                                                                                                  ,          7
28/10/19                      ,MovilSE                                                                                             ,          2
28/10/18                      ,MovilSE                                                                                             ,          3
28/09/20                      ,MovilGZ                                                                                             ,          4
28/09/20                      ,MovilSE                                                                                             ,          8
28/09/20                      ,MovilSE                                                                                             ,          4
28/09/20                      ,UB                                                                                                  ,          8
28/09/19                      ,MovilSE                                                                                             ,          2
28/09/19                      ,UB                                                                                                  ,          2
28/09/18                      ,MovilGZ                                                                                             ,          4
28/09/18                      ,UB                                                                                                  ,          2
28/09/18                      ,MovilSE                                                                                             ,         33
28/08/20                      ,MovilGZ                                                                                             ,          3
28/08/20                      ,MovilSE                                                                                             ,          5
28/08/20                      ,UB                                                                                                  ,         16
28/08/19                      ,PortalGZ                                                                                            ,          2
28/08/19                      ,MovilGZ                                                                                             ,          5
28/08/19                      ,MovilSE                                                                                             ,         26
28/08/19                      ,UB                                                                                                  ,          1
28/08/18                      ,MovilSE                                                                                             ,         63
28/08/18                      ,MovilGZ                                                                                             ,          6
28/08/18                      ,PortalGZ                                                                                            ,         10
28/08/18                      ,UB                                                                                                  ,          2
28/07/20                      ,MovilSE                                                                                             ,          6
28/07/20                      ,UB                                                                                                  ,          2
28/07/20                      ,MovilGZ                                                                                             ,          4
28/07/20                      ,UB                                                                                                  ,         25
28/07/19                      ,UB                                                                                                  ,          1
28/07/18                      ,UB                                                                                                  ,          1
28/07/18                      ,MovilSE                                                                                             ,         13
28/06/20                      ,UB                                                                                                  ,          1
28/06/19                      ,MovilGZ                                                                                             ,          2
28/06/19                      ,PortalGZ                                                                                            ,          1
28/06/19                      ,MovilSE                                                                                             ,         18
28/06/19                      ,UB                                                                                                  ,          3
28/06/18                      ,MovilGZ                                                                                             ,          4
28/06/18                      ,PortalGZ                                                                                            ,         16
28/06/18                      ,UB                                                                                                  ,          8
28/06/18                      ,MovilSE                                                                                             ,         44
28/05/20                      ,UB                                                                                                  ,         21
28/05/20                      ,MovilGZ                                                                                             ,          5
28/05/20                      ,MovilSE                                                                                             ,          1
28/05/19                      ,UB                                                                                                  ,          3
28/05/19                      ,MovilGZ                                                                                             ,          6
28/05/19                      ,MovilSE                                                                                             ,         20
28/05/18                      ,MovilSE                                                                                             ,         18
28/05/18                      ,PortalGZ                                                                                            ,          2
28/05/18                      ,UB                                                                                                  ,          1
28/04/20                      ,UB                                                                                                  ,          7
28/04/19                      ,MovilSE                                                                                             ,          1
28/04/18                      ,MovilSE                                                                                             ,          4
28/03/19                      ,UB                                                                                                  ,          3
28/03/19                      ,MovilGZ                                                                                             ,          3
28/03/19                      ,MovilSE                                                                                             ,         27
28/03/18                      ,MovilSE                                                                                             ,          4
