Fecha,FuenteIngreso,cantidad
29/01/20                      ,MovilSE                                                                                             ,        107
29/01/20                      ,MovilGZ                                                                                             ,          4
29/01/20                      ,UB                                                                                                  ,         11
29/01/19                      ,CALL CENTER                                                                                         ,          1
29/01/19                      ,MovilGZ                                                                                             ,         13
29/01/19                      ,PortalGZ                                                                                            ,          2
29/01/19                      ,UB                                                                                                  ,          1
29/01/19                      ,MovilSE                                                                                             ,        145
29/01/19                      ,UB                                                                                                  ,          5
28/12/18                      ,MovilGZ                                                                                             ,          2
28/12/18                      ,MovilSE                                                                                             ,         72
28/12/18                      ,PortalGZ                                                                                            ,          1
28/12/18                      ,UB                                                                                                  ,          3
28/11/20                      ,MovilSE                                                                                             ,          1
28/11/20                      ,UB                                                                                                  ,          4
28/11/19                      ,MovilGZ                                                                                             ,         14
28/11/19                      ,MovilSE                                                                                             ,        179
28/11/19                      ,UB                                                                                                  ,         11
28/11/18                      ,MovilGZ                                                                                             ,          3
28/11/18                      ,PortalGZ                                                                                            ,          3
28/11/18                      ,CALL CENTER                                                                                         ,          1
28/11/18                      ,MovilSE                                                                                             ,        106
28/11/18                      ,UB                                                                                                  ,          2
28/10/20                      ,MovilGZ                                                                                             ,          7
28/10/20                      ,MovilSE                                                                                             ,        155
28/10/20                      ,UB                                                                                                  ,         29
28/10/19                      ,MovilGZ                                                                                             ,         16
28/10/19                      ,MovilSE                                                                                             ,        160
28/10/19                      ,PortalGZ                                                                                            ,          3
28/10/19                      ,UB                                                                                                  ,         19
28/09/20                      ,MovilSE                                                                                             ,        134
28/09/20                      ,MovilGZ                                                                                             ,          7
28/09/20                      ,UB                                                                                                  ,         39
28/09/18                      ,MovilGZ                                                                                             ,          4
28/09/18                      ,MovilSE                                                                                             ,        114
28/09/18                      ,UB                                                                                                  ,          1
28/08/20                      ,MovilGZ                                                                                             ,          3
28/08/20                      ,MovilSE                                                                                             ,         48
28/08/20                      ,UB                                                                                                  ,         13
28/08/19                      ,MovilSE                                                                                             ,        158
28/08/19                      ,PortalGZ                                                                                            ,          1
28/08/19                      ,MovilGZ                                                                                             ,         16
28/08/19                      ,UB                                                                                                  ,         13
28/08/18                      ,MovilSE                                                                                             ,        207
28/08/18                      ,UB                                                                                                  ,          3
28/08/18                      ,CALL CENTER                                                                                         ,          1
28/08/18                      ,MovilGZ                                                                                             ,         10
28/08/18                      ,PortalGZ                                                                                            ,         14
28/07/20                      ,MovilSE                                                                                             ,        108
28/07/20                      ,MovilGZ                                                                                             ,          8
28/07/20                      ,UB                                                                                                  ,         36
28/07/18                      ,MovilGZ                                                                                             ,          3
28/07/18                      ,UB                                                                                                  ,          2
28/07/18                      ,MovilSE                                                                                             ,         47
28/06/19                      ,MovilGZ                                                                                             ,          1
28/06/19                      ,MovilSE                                                                                             ,         26
28/06/19                      ,UB                                                                                                  ,          6
28/06/18                      ,MovilSE                                                                                             ,         65
28/06/18                      ,UB                                                                                                  ,          9
28/05/20                      ,MovilSE                                                                                             ,         33
28/05/20                      ,UB                                                                                                  ,          7
28/05/19                      ,MovilGZ                                                                                             ,         15
28/05/19                      ,UB                                                                                                  ,         19
28/05/19                      ,MovilSE                                                                                             ,        105
28/05/18                      ,UB                                                                                                  ,         18
28/05/18                      ,MovilSE                                                                                             ,        135
28/05/18                      ,PortalGZ                                                                                            ,          1
28/04/20                      ,MovilGZ                                                                                             ,          4
28/04/20                      ,MovilSE                                                                                             ,         16
28/04/20                      ,UB                                                                                                  ,          1
28/04/20                      ,UB                                                                                                  ,         20
28/03/19                      ,MovilGZ                                                                                             ,          5
28/03/19                      ,MovilSE                                                                                             ,         75
28/03/19                      ,UB                                                                                                  ,          7
28/03/18                      ,PortalGZ                                                                                            ,          1
28/03/18                      ,MovilSE                                                                                             ,        100
28/03/18                      ,UB                                                                                                  ,          3
28/02/20                      ,CALL CENTER                                                                                         ,          1
28/02/20                      ,MovilGZ                                                                                             ,         11
28/02/20                      ,MovilSE                                                                                             ,        200
28/02/20                      ,UB                                                                                                  ,         16
28/02/20                      ,PortalGZ                                                                                            ,          1
28/02/19                      ,MovilSE                                                                                             ,          2
28/02/19                      ,MovilSE                                                                                             ,        267
28/02/19                      ,UB                                                                                                  ,         25
28/02/19                      ,MovilGZ                                                                                             ,         16
28/02/18                      ,MovilSE                                                                                             ,        247
28/02/18                      ,PortalGZ                                                                                            ,          1
28/02/18                      ,UB                                                                                                  ,          6
28/01/20                      ,MovilGZ                                                                                             ,          7
28/01/20                      ,MovilSE                                                                                             ,          1
28/01/20                      ,MovilSE                                                                                             ,        117
28/01/20                      ,UB                                                                                                  ,          1
28/01/20                      ,UB                                                                                                  ,          9
28/01/19                      ,CALL CENTER                                                                                         ,          2
28/01/19                      ,MovilSE                                                                                             ,        196
28/01/19                      ,UB                                                                                                  ,          2
28/01/19                      ,MovilGZ                                                                                             ,          6
28/01/19                      ,PortalGZ                                                                                            ,          5
28/01/19                      ,UB                                                                                                  ,         16
27/12/19                      ,MovilGZ                                                                                             ,          5
27/12/19                      ,MovilSE                                                                                             ,        131
27/12/19                      ,UB                                                                                                  ,         10
27/12/19                      ,CALL CENTER                                                                                         ,          2
27/12/18                      ,MovilSE                                                                                             ,         97
27/12/18                      ,UB                                                                                                  ,          2
27/12/18                      ,MovilGZ                                                                                             ,          5
27/11/20                      ,MovilGZ                                                                                             ,          3
27/11/20                      ,MovilSE                                                                                             ,         70
27/11/20                      ,UB                                                                                                  ,          2
27/11/19                      ,MovilGZ                                                                                             ,         11
27/11/19                      ,MovilSE                                                                                             ,        187
27/11/19                      ,UB                                                                                                  ,         24
27/11/18                      ,MovilGZ                                                                                             ,          3
