"","FechaConsultora","FuenteIngreso","cantidad","Pais"
"187","17/06/19","CALL CENTER",3,"Perú"
"188","21/12/19","UB",4,"Perú"
"189","10/08/19","MovilGZ",2,"Perú"
"190","03/04/19","MovilSE",571,"Perú"
"191","07/11/19","UB",20,"Perú"
"192","05/03/19","MovilSE",364,"Perú"
"193","16/05/19","PortalGZ",6,"Perú"
"194","02/08/19","PortalGZ",4,"Perú"
"195","03/07/19","MovilSE",309,"Perú"
"196","05/11/19","MovilGZ",20,"Perú"
"197","25/09/19","MovilGZ",22,"Perú"
"198","02/04/19","MovilSE",578,"Perú"
"199","17/02/19","MovilSE",27,"Perú"
"200","22/04/19","UB",86,"Perú"
"201","16/05/19","UB",51,"Perú"
"202","13/11/19","UB",44,"Perú"
"203","17/01/19","PortalGZ",5,"Perú"
"204","14/01/19","MovilSE",366,"Perú"
"205","23/07/19","MovilSE",380,"Perú"
"206","12/04/19","CALL CENTER",2,"Perú"
"207","31/10/19","MovilSE",324,"Perú"
"208","14/02/19","CALL CENTER",2,"Perú"
"209","15/08/19","PortalGZ",4,"Perú"
"210","23/01/19","MovilGZ",21,"Perú"
"211","10/07/19","UB",32,"Perú"
"212","21/01/20","MovilSE",4,"Perú"
"213","11/09/19","UB",39,"Perú"
"214","13/10/19","CALL CENTER",1,"Perú"
"215","14/02/19","PortalGZ",5,"Perú"
"216","13/09/19","MovilGZ",20,"Perú"
"217","09/01/19","MovilSE",320,"Perú"
"218","15/10/19","UB",23,"Perú"
"219","21/07/19","UB",1,"Perú"
"220","15/02/19","UB",24,"Perú"
"221","04/02/19","MovilSE",673,"Perú"
"222","26/01/19","CALL CENTER",1,"Perú"
"223","09/07/19","PortalGZ",7,"Perú"
"224","24/11/19","MovilSE",27,"Perú"
"225","29/12/19","MovilSE",15,"Perú"
"226","16/08/19","PortalGZ",1,"Perú"
"227","14/06/19","CALL CENTER",1,"Perú"
"228","22/01/20","MovilSE",1,"Perú"
"229","09/02/19","MovilGZ",1,"Perú"
"230","06/05/19","PortalGZ",1,"Perú"
"231","12/12/19","MovilGZ",9,"Perú"
"232","19/12/19","CALL CENTER",1,"Perú"
"233","20/07/19","MovilGZ",1,"Perú"
"234","13/09/19","PortalGZ",2,"Perú"
"235","06/01/20","MovilGZ",1,"Perú"
"236","12/11/19","MovilSE",434,"Perú"
"237","17/01/19","UB",54,"Perú"
"238","25/11/19","CALL CENTER",2,"Perú"
"239","05/01/19","PortalGZ",1,"Perú"
"240","30/04/19","CALL CENTER",3,"Perú"
"241","10/07/19","MovilSE",508,"Perú"
"242","15/08/19","MovilSE",370,"Perú"
"243","16/01/20","MovilSE",4,"Perú"
"244","23/07/19","PortalGZ",4,"Perú"
"245","26/04/19","MovilGZ",23,"Perú"
"246","19/06/19","UB",43,"Perú"
"247","12/01/19","MovilSE",49,"Perú"
"248","13/01/19","UB",15,"Perú"
"249","07/08/19","UB",22,"Perú"
"250","23/07/19","UB",34,"Perú"
"251","26/04/19","CALL CENTER",4,"Perú"
"252","29/11/19","CALL CENTER",2,"Perú"
"253","22/10/19","UB",35,"Perú"
"254","25/01/20","MovilSE",1,"Perú"
"255","14/12/19","UB",5,"Perú"
"256","14/06/19","PortalGZ",2,"Perú"
"257","12/11/19","UB",41,"Perú"
"258","06/07/19","MovilSE",51,"Perú"
"259","19/07/19","PortalGZ",3,"Perú"
"260","11/12/19","UB",27,"Perú"
"261","09/02/19","CALL CENTER",1,"Perú"
"262","01/03/19","CALL CENTER",1,"Perú"
"263","15/02/19","MovilGZ",25,"Perú"
"264","12/11/19","PortalGZ",4,"Perú"
"265","09/01/19","CALL CENTER",1,"Perú"
"266","04/05/19","UB",15,"Perú"
"267","19/07/19","UB",24,"Perú"
"268","26/04/19","UB",57,"Perú"
"269","02/10/19","MovilSE",487,"Perú"
"270","24/10/19","UB",21,"Perú"
"271","16/11/19","MovilGZ",3,"Perú"
"272","20/05/19","MovilGZ",25,"Perú"
"273","31/07/19","UB",49,"Perú"
"274","16/02/19","PortalGZ",1,"Perú"
"275","25/09/19","MovilSE",306,"Perú"
"276","01/06/19","MovilGZ",2,"Perú"
"277","05/03/20","MovilSE",1,"Perú"
"278","25/03/19","CALL CENTER",1,"Perú"
"279","24/08/19","MovilSE",111,"Perú"
"280","09/09/19","CALL CENTER",4,"Perú"
"281","24/05/19","UB",36,"Perú"
"282","01/02/19","MovilGZ",9,"Perú"
"283","18/11/19","CALL CENTER",1,"Perú"
"284","11/07/19","MovilGZ",20,"Perú"
"285","19/07/19","MovilSE",388,"Perú"
"286","01/08/19","MovilGZ",30,"Perú"
"287","20/08/19","PortalGZ",12,"Perú"
"288","16/04/19","PortalGZ",6,"Perú"
"289","04/01/19","MovilSE",291,"Perú"
"290","05/04/19","CALL CENTER",1,"Perú"
"291","22/09/19","MovilSE",36,"Perú"
"292","20/11/19","CALL CENTER",1,"Perú"
"293","04/10/19","UB",33,"Perú"
"294","01/04/19","CALL CENTER",1,"Perú"
"295","05/08/19","CALL CENTER",1,"Perú"
