"","FechaConsultora","FuenteIngreso","cantidad","Pais"
"93","02/12/19","MovilGZ",8,"Chile"
"94","02/12/19","MovilSE",161,"Chile"
"95","02/12/19","UB",94,"Chile"
"96","03/01/19","MovilGZ",5,"Chile"
"97","03/01/19","MovilSE",1,"Chile"
"98","03/01/20","UB",4,"Chile"
"99","03/02/20","MovilSE",212,"Chile"
"100","03/02/20","PortalGZ",3,"Chile"
"101","03/02/20","UB",48,"Chile"
"102","03/03/19","MovilSE",12,"Chile"
"103","03/03/19","UB",5,"Chile"
"104","03/03/20","MovilSE",3,"Chile"
"105","03/03/20","MovilSE",102,"Chile"
"106","03/03/20","UB",1,"Chile"
"107","03/04/18","MovilSE",51,"Chile"
"108","03/04/18","PortalGZ",1,"Chile"
"109","03/04/19","MovilGZ",17,"Chile"
"110","03/04/19","MovilSE",206,"Chile"
"111","03/04/19","UB",74,"Chile"
"112","03/04/20","UB",1,"Chile"
"113","03/05/18","PortalGZ",7,"Chile"
"114","03/05/18","UB",41,"Chile"
"115","03/05/19","MovilGZ",6,"Chile"
"116","03/05/19","UB",63,"Chile"
"117","03/05/20","MovilSE",4,"Chile"
"118","03/06/18","MovilSE",2,"Chile"
"119","03/06/19","MovilGZ",12,"Chile"
"120","03/06/19","UB",38,"Chile"
"121","03/07/18","MovilSE",92,"Chile"
"122","03/07/18","UB",20,"Chile"
"123","03/07/19","MovilGZ",1,"Chile"
"124","03/07/19","MovilSE",72,"Chile"
"125","03/07/19","PortalGZ",1,"Chile"
"126","03/07/19","UB",25,"Chile"
"127","03/07/20","MovilGZ",12,"Chile"
"128","03/07/20","MovilSE",140,"Chile"
"129","03/07/20","UB",90,"Chile"
"130","03/08/18","MovilGZ",1,"Chile"
"131","03/08/19","UB",13,"Chile"
"132","03/09/18","MovilSE",79,"Chile"
"133","03/09/19","MovilGZ",2,"Chile"
"134","03/09/19","MovilSE",82,"Chile"
"135","03/09/19","UB",38,"Chile"
"136","03/09/20","MovilGZ",1,"Chile"
"137","03/10/18","MovilGZ",16,"Chile"
"138","03/10/18","MovilSE",71,"Chile"
"139","03/10/18","UB",43,"Chile"
"140","03/10/19","MovilGZ",9,"Chile"
"141","03/10/19","UB",52,"Chile"
"142","03/11/18","MovilSE",4,"Chile"
"143","03/12/18","MovilGZ",1,"Chile"
"144","03/12/18","MovilSE",68,"Chile"
"145","03/12/18","UB",25,"Chile"
"146","03/12/19","MovilGZ",13,"Chile"
"147","03/12/19","MovilSE",174,"Chile"
"148","03/12/19","UB",5,"Chile"
"149","04/01/18","UB",5,"Chile"
"150","04/01/19","MovilGZ",6,"Chile"
"151","04/01/19","MovilSE",4,"Chile"
"152","04/01/19","UB",18,"Chile"
"153","04/01/20","MovilSE",16,"Chile"
"154","04/01/20","UB",1,"Chile"
"155","04/01/20","UB",12,"Chile"
"156","04/02/18","PortalGZ",1,"Chile"
"157","04/02/18","UB",3,"Chile"
"158","04/02/19","MovilGZ",15,"Chile"
"159","04/02/19","UB",32,"Chile"
"160","04/02/20","MovilSE",189,"Chile"
"161","04/02/20","UB",3,"Chile"
"162","04/02/20","UB",39,"Chile"
"163","04/03/18","UB",4,"Chile"
